"","event.id","predicted","NOISE","X045","X085","original","correct"
"211","2211","NOISE",0.5681,0.0437,0.3882,"NOISE",TRUE
"212","2221","NOISE",0.9973,1e-04,0.0026,"NOISE",TRUE
"213","2222","NOISE",1,0,0,"NOISE",TRUE
"214","2223","NOISE",0.9836,0.0037,0.0127,"NOISE",TRUE
"215","2224","NOISE",0.9995,1e-04,4e-04,"NOISE",TRUE
"216","2232","NOISE",0.9366,0.022,0.0414,"NOISE",TRUE
"217","2237","NOISE",0.9785,0.0047,0.0168,"NOISE",TRUE
"218","2238","NOISE",0.9143,0.023,0.0627,"NOISE",TRUE
"219","2240","NOISE",0.9586,0.0116,0.0298,"NOISE",TRUE
"220","2241","NOISE",0.987,0.0025,0.0105,"NOISE",TRUE
"221","2242","NOISE",0.9851,0.0032,0.0117,"NOISE",TRUE
"222","2243","NOISE",0.9999,0,1e-04,"NOISE",TRUE
"223","2244","NOISE",0.9179,0.0034,0.0787,"NOISE",TRUE
"224","2246","NOISE",0.9347,0.0349,0.0304,"NOISE",TRUE
"225","2247","NOISE",0.9609,0.0093,0.0298,"NOISE",TRUE
"226","2248","NOISE",0.671,0.0304,0.2986,"NOISE",TRUE
"227","2249","NOISE",0.9826,0.0032,0.0142,"NOISE",TRUE
"228","2250","NOISE",0.9359,0.0221,0.042,"NOISE",TRUE
"229","2251","NOISE",0.9355,0.0228,0.0417,"NOISE",TRUE
"230","2252","NOISE",0.6946,0.0306,0.2748,"NOISE",TRUE
"231","2253","NOISE",0.7234,0.031,0.2456,"NOISE",TRUE
"232","2254","NOISE",0.9817,0.0034,0.0149,"NOISE",TRUE
"233","2255","NOISE",0.9988,4e-04,8e-04,"NOISE",TRUE
"234","2256","NOISE",0.8541,0.0065,0.1394,"NOISE",TRUE
"235","2257","NOISE",0.9421,0.0118,0.0461,"NOISE",TRUE
"236","2258","NOISE",0.6999,0.0236,0.2765,"NOISE",TRUE
"237","2259","NOISE",0.9732,0.0053,0.0215,"NOISE",TRUE
"238","2261","NOISE",0.6808,0.028,0.2912,"NOISE",TRUE
"239","2262","X085",0.4601,0.0782,0.4617,"NOISE",FALSE
"240","2263","NOISE",0.7263,0.0186,0.2551,"NOISE",TRUE
"241","2264","NOISE",0.959,0.0038,0.0372,"NOISE",TRUE
"242","2265","NOISE",0.9791,0.0037,0.0172,"NOISE",TRUE
"243","2266","NOISE",0.9999,0,1e-04,"NOISE",TRUE
