"","event.id","predicted","NOISE","X045","X085","original","correct"
"279","5594","NOISE",0.9851,0.0033,0.0116,"NOISE",TRUE
"280","5595","NOISE",0.9993,2e-04,5e-04,"NOISE",TRUE
"281","5596","NOISE",0.9607,0.0113,0.028,"NOISE",TRUE
"282","5597","NOISE",0.9602,0.0114,0.0284,"NOISE",TRUE
"283","5598","NOISE",0.9987,0,0.0013,"NOISE",TRUE
"284","5599","NOISE",0.9983,5e-04,0.0012,"NOISE",TRUE
"285","5600","NOISE",0.9697,0.0052,0.0251,"NOISE",TRUE
"286","5601","NOISE",0.9756,0.0049,0.0195,"NOISE",TRUE
"287","5602","NOISE",0.9706,0.005,0.0244,"NOISE",TRUE
"288","5603","NOISE",0.9767,0.0049,0.0184,"NOISE",TRUE
"289","5604","NOISE",0.9827,0.0034,0.0139,"NOISE",TRUE
"290","5605","NOISE",0.9805,0.004,0.0155,"NOISE",TRUE
"291","5606","NOISE",0.9398,0.012,0.0482,"NOISE",TRUE
"292","5607","NOISE",0.9767,0.0039,0.0194,"NOISE",TRUE
"293","5608","NOISE",0.9777,0.0039,0.0184,"NOISE",TRUE
"294","5609","NOISE",0.9969,2e-04,0.0029,"NOISE",TRUE
"295","5611","NOISE",0.8088,0.0632,0.128,"NOISE",TRUE
"296","5612","NOISE",0.9811,0.0046,0.0143,"NOISE",TRUE
"297","5613","NOISE",0.5916,0.1694,0.239,"NOISE",TRUE
"298","5614","NOISE",0.9983,6e-04,0.0011,"NOISE",TRUE
"299","5615","NOISE",0.9177,0.0076,0.0747,"NOISE",TRUE
"300","5616","NOISE",0.6281,0.0355,0.3364,"NOISE",TRUE
"301","5617","NOISE",0.6561,0.0324,0.3115,"NOISE",TRUE
"302","5619","NOISE",0.9386,0.022,0.0394,"NOISE",TRUE
"303","5621","NOISE",0.8124,0.0104,0.1772,"NOISE",TRUE
"304","5622","NOISE",0.8945,0.0082,0.0973,"NOISE",TRUE
"305","5623","NOISE",0.947,0.0149,0.0381,"NOISE",TRUE
"306","5624","NOISE",0.9801,0.0041,0.0158,"NOISE",TRUE
"307","5625","NOISE",0.9696,0.0055,0.0249,"NOISE",TRUE
"308","5628","NOISE",0.98,0.004,0.016,"NOISE",TRUE
"309","5629","NOISE",0.7823,0.0164,0.2013,"NOISE",TRUE
"310","5630","NOISE",0.7019,0.023,0.2751,"NOISE",TRUE
"311","5631","NOISE",0.9509,0.0093,0.0398,"NOISE",TRUE
"312","5632","NOISE",0.8356,0.0091,0.1553,"NOISE",TRUE
"313","5633","NOISE",0.8206,0.0108,0.1686,"NOISE",TRUE
"314","5634","NOISE",0.7707,0.0178,0.2115,"NOISE",TRUE
"315","5635","NOISE",0.6249,0.0225,0.3526,"NOISE",TRUE
"316","5636","X085",0.4288,0.0492,0.522,"NOISE",FALSE
